,post_time,id,post_view,post_reply,post_symph,post_title
23,2019-01-27 03:55:22,13100159,1638,1,0, 오늘 이이제이를 들으며 든 생각 2가지.. 
23,2019-01-28 03:01:18,13103120,7209,11,16, JTBC 안지현기자가 오보로 유정호님을 모욕하였습니다. 
23,2019-01-28 03:05:25,13103122,5770,10,0, 카광 이런 이야기도 돌고 있죠 
23,2019-01-28 03:11:04,13103124,1894,2,0, 와.. 아마존 giveaway가 당첨되기도 하는군요. 
23,2019-01-28 03:16:25,13103128,5687,5,1, 심쿵.gif 
23,2019-01-28 03:18:49,13103130,1526,2,0, 넷플릭스 개인정보 관리가 이상하네요 
23,2019-01-28 03:29:44,13103132,1718,9,0, unbox therapy 이사람은 스케일이 남다르네여ㄷㄷ 
23,2019-01-28 03:36:49,13103133,1391,4,1, 이제 유튭 채널구독은 더욱 보수적으로 하게 될것같네요. 
23,2019-01-28 03:41:11,13103135,6238,42,1, 현직 택시기사 주말 수입입니다 혹시 모를 질문도 받습니다 
23,2019-01-28 03:50:40,13103138,2741,10,1, 이상한? 흥미로운 사이트를 하나 발견했습니다 
23,2019-01-28 03:54:09,13103140,5863,33,0, 유튜버 허팝님 최근 컨텐츠.. 
23,2019-01-29 03:17:11,13106955,11789,13,1, 라쿤의 본능과 지능.gif 
23,2019-01-29 03:17:29,13106957,2285,9,0, 아이폰도 소니 카메라 NFC태킹 되네요! 
23,2019-01-29 03:29:42,13106961,3486,10,0, 군문제때문에 삶이 버거워지네요 
23,2019-01-29 03:46:37,13106965,5530,3,0, 직장 생활넘나 행벅행 
23,2019-01-29 03:52:09,13106968,5267,14,0, 죽이 23천원이네요 ㅎㄸ 
23,2019-01-30 03:04:24,13110522,785,6,2, 훌쩍 떠나고 싶네요 
23,2019-01-30 03:21:29,13110529,1626,8,0, 2인용 한글 디아블로3가 스위치에서만 지원되는군요. ㅜㅜ 
23,2019-01-30 03:26:36,13110532,2598,13,11, 꿈에서 죽은 강아지가 나왔네요. 떠나기 싫었던 걸까요 
23,2019-01-30 03:34:29,13110538,1706,4,0, 이 인터넷 속도면 망한건가요? 
23,2019-01-30 03:39:36,13110542,4280,8,0, 신기하게 롯데월드타워 맨꼭대기에는 난간도 없네요. 
23,2019-01-30 03:43:48,13110545,1750,3,0, 그동안 제 피씨 소음의 주범이 파워였다니... 
23,2019-01-30 03:51:48,13110548,7654,3,0, 빅뱅에서 태양이 사고를 안쳤다거 생각하는 분들이 많으시네요 
23,2019-01-30 03:55:02,13110552,1437,3,0, SKB 반기가 Fast.com 
23,2019-01-31 03:07:02,13114948,2278,1,0, 바이오하자드 RE:2 다회차 소감 
23,2019-01-31 03:15:26,13114952,1028,4,1, 요즘 취하면 듣는 승환옹 노래.. 
23,2019-01-31 03:21:08,13114954,3058,13,0, 클량분들중에 5~6평 원룸에 사시는분들 옷은 어떻게 관리하시나요? 
23,2019-01-31 03:30:55,13114957,2828,17,0, 미국 위스콘신 일리노이 날씨 수준이 거의 
23,2019-01-31 03:36:11,13114959,478,0,0, mp3 / 카메라 다 따로 쓰니 용량이 남네요 
23,2019-01-24 04:01:51,13087769,712,3,1, 아... 잠들기 실패... 
23,2019-01-24 04:10:51,13087776,1448,1,0, 알함브라의 추억을 이제서야 봤습니다...좀 허무하네요 걍 단편으로 만들지 
23,2019-01-24 04:21:25,13087780,1296,3,0, 블베 키투가 저를 뽐뿌하네요.. 
23,2019-01-24 04:36:31,13087783,2691,6,4, 금일 노가다 대마찌 
23,2019-01-24 04:40:02,13087785,3664,20,2, 개인적으로 재미있게 봤던 넷플릭스 시리즈물 
23,2019-01-24 04:46:47,13087786,2606,2,3, [펌] 낼 때 마다 망한 소련의 경제개혁들 
23,2019-01-24 04:50:23,13087787,3210,6,1, jm이랑 낭중지추랑 윾머랑 현실친구인가봐요? 
23,2019-01-24 04:55:01,13087790,9321,34,4, 이 와중에 황교익 재평가 
23,2019-01-24 04:59:11,13087791,2859,8,0, 11월 구매 1월 배송 받은 새 키보드 입니다. 
23,2019-01-25 04:11:00,13092248,1518,2,0, 알파스타 잘 하네요 
23,2019-01-25 04:20:51,13092256,2646,9,0, AI 전공자 또는 현직이신분 보고 계신분 있나요 
23,2019-01-25 04:32:08,13092263,2240,6,0, 아이폰 매출 하락을 막기위해 돈이면 다하는 크래커를 불러서 안드를 해킹한다. 
23,2019-01-25 04:40:30,13092265,2184,5,0, [뻘글] 알파스타고 나발이고 
23,2019-01-25 04:51:46,13092276,1990,0,0, 허어....알파스타가 본모습을 드러내는군요?! 
23,2019-01-25 04:54:15,13092277,6268,8,0, 딥마인드의 유일한 1패가 이세돌 9단이라니... 
23,2019-01-27 04:05:51,13100161,2131,4,0, 프리랜서 기자라 그런지 
23,2019-01-27 04:16:29,13100165,9663,13,0, 넷플릭스가 무섭긴 한가보네요 
23,2019-01-27 04:33:42,13100170,972,0,0, 앤썸게임 생각외로 상당히 잘나왔네요 
23,2019-01-27 04:39:53,13100174,415,2,0, [음악] 해이(Hey) - I Love Your All 
23,2019-01-27 04:54:57,13100178,6937,17,2, 손혜원의원 휴전선언? 
23,2019-01-28 04:01:45,13103141,2506,16,0, 넷플 오리지널 영화 폴라 추천합니다 
23,2019-01-28 04:04:37,13103143,1655,2,0, 윾튜브? 까광? 뭐 상세히 잘모르는 채널이지만... 
23,2019-01-28 04:12:02,13103149,36844,181,18, 일본 생활 물가.jpg 
23,2019-01-28 04:20:14,13103152,3846,7,0, 한국 흡연율이 생각보다 엄청 높았군요 
23,2019-01-28 04:22:16,13103153,8982,66,3, 29살 막막하네요ㅠㅜ 
23,2019-01-28 04:30:58,13103156,2545,9,0, 놀란감독 신작 내년 7월17일 북미 개봉예정이랍니다 
23,2019-01-28 04:40:59,13103159,2841,2,0, 한국/아시아 국가 제외 129개국에 아이온 모바일이 출시가 되었다는데... 
23,2019-01-28 04:45:20,13103162,3027,22,13, 금일 노가다 출근 
23,2019-01-28 04:55:06,13103166,46158,247,2, 뉴욕에서 밥먹었는데 영수증 팁란..jpg 
23,2019-01-29 04:01:55,13106972,5307,9,10, 하루를 끝내고 잠자리에 들면서 따뜻한 털뭉치를 안고 잘 수 있다는 건 
23,2019-01-29 04:45:59,13106980,1378,14,0, 3D 게임 멀미 기준을 모르겠습니다. 
23,2019-01-29 04:51:22,13106981,769,5,0, 아우 뉴에그에서 주문한 물품이 중국으로 갔나봐요 ㅜ 
23,2019-01-30 04:00:26,13110555,1093,4,0, fast.com 측정이 브라우저별로 다릅니다. 
23,2019-01-30 04:06:13,13110557,2539,21,2, 디아블로3 출시 초기에는 엄청 재밌었던거 같은데 저만 그랬나봐요 
23,2019-01-30 04:09:31,13110559,3026,1,0, 노스포] 극한직업...예지력 덕분에 망함 
23,2019-01-30 04:22:15,13110565,5154,7,0, 야밤에 카톡이 왔는데 당황스럽네요.... 
23,2019-01-30 04:22:33,13110566,1308,1,0, 오늘 날씨는 좀 포근한 편이네요 ㅋㅋㅋ 
23,2019-01-30 04:36:50,13110569,6390,6,0, 인터넷 속도가 한국이 최고인 줄 알았는데 
23,2019-01-30 04:46:44,13110574,2718,5,0, 야밤의 유로트럭 중 
